sample_id,trace_id,domain,difficulty,query,response,ground_truth,predicted_label,h_score,p1,p2,p3,error_type
law_0102,TRACE_PHASE6_000102,Law,medium,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0106,TRACE_PHASE6_000106,Law,hard,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0110,TRACE_PHASE6_000110,Law,easy,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0114,TRACE_PHASE6_000114,Law,medium,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0118,TRACE_PHASE6_000118,Law,hard,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0122,TRACE_PHASE6_000122,Law,easy,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0126,TRACE_PHASE6_000126,Law,medium,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0130,TRACE_PHASE6_000130,Law,hard,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0134,TRACE_PHASE6_000134,Law,easy,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0138,TRACE_PHASE6_000138,Law,medium,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0142,TRACE_PHASE6_000142,Law,hard,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0146,TRACE_PHASE6_000146,Law,easy,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
law_0150,TRACE_PHASE6_000150,Law,medium,Which court handles parking fines?,The Supreme Court tries all civil traffic parking violations.,1,0,0.1571,0.1571,,,FALSE_NEGATIVE
fin_0152,TRACE_PHASE6_000152,Finance,medium,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0156,TRACE_PHASE6_000156,Finance,hard,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0160,TRACE_PHASE6_000160,Finance,easy,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0164,TRACE_PHASE6_000164,Finance,medium,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0168,TRACE_PHASE6_000168,Finance,hard,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0172,TRACE_PHASE6_000172,Finance,easy,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0176,TRACE_PHASE6_000176,Finance,medium,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0180,TRACE_PHASE6_000180,Finance,hard,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0184,TRACE_PHASE6_000184,Finance,easy,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0188,TRACE_PHASE6_000188,Finance,medium,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0192,TRACE_PHASE6_000192,Finance,hard,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0196,TRACE_PHASE6_000196,Finance,easy,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
fin_0200,TRACE_PHASE6_000200,Finance,medium,What does hyperinflation do?,Hyperinflation causes currency value to double every hour permanently.,1,0,0.175,0.175,,,FALSE_NEGATIVE
his_0202,TRACE_PHASE6_000202,History,medium,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0206,TRACE_PHASE6_000206,History,hard,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0210,TRACE_PHASE6_000210,History,easy,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0214,TRACE_PHASE6_000214,History,medium,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0218,TRACE_PHASE6_000218,History,hard,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0222,TRACE_PHASE6_000222,History,easy,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0226,TRACE_PHASE6_000226,History,medium,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0230,TRACE_PHASE6_000230,History,hard,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0234,TRACE_PHASE6_000234,History,easy,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0238,TRACE_PHASE6_000238,History,medium,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0242,TRACE_PHASE6_000242,History,hard,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0246,TRACE_PHASE6_000246,History,easy,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
his_0250,TRACE_PHASE6_000250,History,medium,Who won the Battle of Waterloo?,Napoleon Bonaparte won the Battle of Waterloo in 1815.,1,0,0.05,0.05,,,FALSE_NEGATIVE
sci_0254,TRACE_PHASE6_000254,Science,easy,What charge do electrons have?,Electrons have positive electrical charges.,1,0,0.4609,0.4609,,,FALSE_NEGATIVE
sci_0258,TRACE_PHASE6_000258,Science,medium,What charge do electrons have?,Electrons have positive electrical charges.,1,0,0.4609,0.4609,,,FALSE_NEGATIVE
