sample_id,domain,ground_truth,predicted_label,error_type,taxonomy_category,p1_score,p2_score,p3_score,h_score,query,response
gen_0002,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.05,,0.017,0.0382,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France."
gen_0006,General Knowledge,1,0,FALSE_NEGATIVE,consistency_variance,0.5236,,0.0575,0.3572,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1893 as the tallest stru"
gen_0008,General Knowledge,1,0,FALSE_NEGATIVE,consistency_variance,0.5008,,0.2696,0.4182,What is the smallest ocean?,The smallest ocean is the Arctic Ocean. It covers about 14 million square kilometers (5.4 million sq
gen_0010,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.3357,,0.0576,0.2364,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1903 as a symbol of Fren"
gen_0014,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.05,,0.02,0.0393,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France."
gen_0018,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.3654,,0.0968,0.2695,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It is the tallest man-made structure in the world at 3"
gen_0022,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.05,,0.0002,0.0322,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France."
gen_0024,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.0046,,0.3573,0.1305,What is the smallest ocean?,The smallest ocean is the Arctic Ocean.
gen_0026,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.0339,,0.0466,0.0384,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It stands at 300 meters (984 feet) tall and has a diam"
gen_0030,General Knowledge,1,0,FALSE_NEGATIVE,retrieval_insufficient,0.05,,0.0216,0.0399,Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France."
