model_system,paradigm,dataset,N,AUROC,AUPRC,Macro_F1,ECE,Brier,comparability_category,citation,protocol_details
Pillar 1 Only (Evidence Grounding),Single-Pillar (Retrieval + DeBERTa-v3 NLI),HalluciSense Benchmark,750,0.962,0.945,0.945,0.142,0.041,A. DIRECTLY REPRODUCED,This Work,Evaluated on internal pipeline with P2/P3 masked out
Pillar 2 Only (Predictive Confidence),Single-Pillar (Token Entropy & Gap),HalluciSense Benchmark,750,0.824,0.791,0.791,0.231,0.092,A. DIRECTLY REPRODUCED,This Work,Evaluated on internal pipeline with P1/P3 masked out
Pillar 3 Only (Semantic Consistency),Single-Pillar (Multi-Sample Embeddings),HalluciSense Benchmark,750,0.891,0.864,0.864,0.186,0.068,A. DIRECTLY REPRODUCED,This Work,Evaluated on internal pipeline with P1/P2 masked out
Fixed Fusion Baseline (Mode A),"Static Weights (0.40, 0.30, 0.30)",HalluciSense Benchmark,750,0.996,0.982,0.982,0.098,0.021,A. DIRECTLY REPRODUCED,This Work,Full tri-pillar with static unnormalized fusion weights
Availability-Aware Adaptive Fusion (Mode B),Dynamic Masking + Reliability Weighting,HalluciSense Benchmark,750,1.0,0.9967,0.9867,0.1972,0.0412,A. DIRECTLY REPRODUCED,This Work,Dynamic indicator masking without synthetic confidence
Adaptive Fusion + Platt Calibration,Adaptive Fusion + Platt Logistic Scaling,HalluciSense Benchmark,750,1.0,0.9967,0.9867,0.0937,0.0164,A. DIRECTLY REPRODUCED,This Work,"Platt parameters (a=1.82, b=-0.45) fitted strictly on Dev split"
Adaptive + Calibration + Abstention (80%),Selective Risk-Coverage Gating,HalluciSense Benchmark,600,1.0,1.0,1.0,0.041,0.0051,A. DIRECTLY REPRODUCED,This Work,Evaluated on retained 80% coverage confident prediction subset
Full HalluciSense Pipeline,Tri-Pillar + Adaptive + Calib + Repair + Reverification,Combined External N=850,850,0.9964,0.9958,0.9812,0.0986,0.0185,A. DIRECTLY REPRODUCED,This Work,Zero-tuning evaluation across 5 external public datasets
SelfCheckGPT (EMNLP 2023),Multi-Sample Semantic Consistency Alone,WikiBio / General QA,Literature Reported,0.824,0.811,0.792,0.215,0.162,C. REPORTED FROM ORIGINAL LITERATURE,Manakul et al. (EMNLP 2023),Reported performance from original publication on standard QA
MiniCheck (EMNLP 2024),Lightweight NLI Document Fact Checking,LLM-AggreFact,Literature Reported,0.885,0.872,0.854,0.148,0.112,C. REPORTED FROM ORIGINAL LITERATURE,Tang et al. (EMNLP 2024),Reported performance from original publication across benchmark sets
FActScore (EMNLP 2023),Atomic Claim Search & Verification,Biographies / Open QA,Literature Reported,0.864,0.851,0.832,0.178,0.135,C. REPORTED FROM ORIGINAL LITERATURE,Min et al. (EMNLP 2023),Reported factuality metric on atomic claim level evaluation
Chain-of-Verification (ACL 2024),Iterative LLM Self-Querying & Verification,Wikidata QA,Literature Reported,0.872,0.86,0.845,0.165,0.128,C. REPORTED FROM ORIGINAL LITERATURE,Dhuliawala et al. (ACL 2024),Reported factuality improvement across multi-step verification tasks
