sample_id,domain,category,difficulty,claim,ground_truth,ground_truth_label,source_url,provenance,baseline_score,baseline_pred,baseline_correct,baseline_latency_ms,enhanced_score,enhanced_pred,enhanced_correct,enhanced_latency_ms,num_propositions,enhancements_triggered,score_delta,prediction_changed,correctness_changed,transition_class
8A_PHY_TRU_0001,Physics,TRUE_CONTROL,easy,The speed of light in a vacuum is approximately 3×10⁸ metres per second.,0,factual,https://en.wikipedia.org/wiki/Speed_of_light,"Exact value 299,792,458 m/s; commonly approximated as 3×10⁸ m/s. Factual.",0.5,1,False,2142.79,0.1333,0,True,2858.66,1,[],-0.3667,True,True,C_RECOVERY
8A_PHY_TRU_0002,Physics,TRUE_CONTROL,easy,An electron has a rest mass of approximately 9.11×10⁻³¹ kilograms.,0,factual,https://physics.nist.gov/cgi-bin/cuu/Value?me,CODATA recommended value: 9.1093837015×10⁻³¹ kg. Factual.,0.5,1,False,1970.86,0.0126,0,True,2230.19,1,[],-0.4874,True,True,C_RECOVERY
8A_PHY_TRU_0003,Physics,TRUE_CONTROL,easy,The gravitational acceleration at Earth's surface is approximately 9.8 m/s².,0,factual,https://en.wikipedia.org/wiki/Gravitational_acceleration,Standard gravity g=9.80665 m/s². Commonly stated as 9.8 m/s². Factual.,0.5,1,False,1774.76,0.0123,0,True,2005.12,1,[],-0.4877,True,True,C_RECOVERY
8A_PHY_TRU_0004,Physics,TRUE_CONTROL,medium,Planck's constant has a value of approximately 6.626×10⁻³⁴ joule-seconds.,0,factual,https://physics.nist.gov/cgi-bin/cuu/Value?h,Exact defined value: 6.62607015×10⁻³⁴ J·s. Factual.,0.5,1,False,2749.89,0.5005,1,False,2358.53,1,[],0.0005,False,False,D_STABLE_WRONG
8A_PHY_TRU_0005,Physics,TRUE_CONTROL,easy,The wavelength of visible light ranges from approximately 380 nm to 740 nm.,0,factual,https://en.wikipedia.org/wiki/Visible_spectrum,Visible range: ~380–740 nm. Factual.,0.5,1,False,1382.69,1.0,1,False,2167.27,1,[],0.5,False,False,D_STABLE_WRONG
8A_PHY_NUM_0006,Physics,NUMERICAL_PRECISION,medium,The speed of light in a vacuum is approximately 3×10⁶ metres per second.,1,hallucinated,https://en.wikipedia.org/wiki/Speed_of_light,Correct value is ~3×10⁸ m/s. Claim states 10⁶ — off by two orders of magnitude.,0.5,1,True,1633.09,0.1333,0,False,1405.93,1,[],-0.3667,True,True,B_REGRESSION
8A_PHY_NUM_0007,Physics,NUMERICAL_PRECISION,hard,An electron has a rest mass of approximately 9.11×10⁻²⁷ kilograms.,1,hallucinated,https://physics.nist.gov/cgi-bin/cuu/Value?me,Correct exponent is 10⁻³¹. Claim uses 10⁻²⁷ — four orders of magnitude error.,0.5,1,True,1690.39,0.0111,0,False,1783.27,1,[],-0.4889,True,True,B_REGRESSION
8A_PHY_NUM_0008,Physics,NUMERICAL_PRECISION,hard,Planck's constant is approximately 6.626×10⁻³⁰ joule-seconds.,1,hallucinated,https://physics.nist.gov/cgi-bin/cuu/Value?h,Correct exponent is 10⁻³⁴. Claim states 10⁻³⁰ — four orders of magnitude error.,0.5,1,True,2564.53,0.5005,1,True,2570.19,1,[],0.0005,False,False,A_STABLE_CORRECT
8A_PHY_NUM_0009,Physics,NUMERICAL_PRECISION,easy,The gravitational acceleration at Earth's surface is approximately 19.6 m/s².,1,hallucinated,https://en.wikipedia.org/wiki/Gravitational_acceleration,Standard g≈9.8 m/s². Claim doubles the correct value.,0.5,1,True,1625.0,0.9646,1,True,1673.12,1,[],0.4646,False,False,A_STABLE_CORRECT
8A_PHY_NUM_0010,Physics,NUMERICAL_PRECISION,medium,Visible light has a wavelength range of approximately 200 nm to 400 nm.,1,hallucinated,https://en.wikipedia.org/wiki/Visible_spectrum,"Visible range is 380–740 nm. The claim describes UV, not visible light.",0.5,1,True,1563.06,1.0,1,True,1341.91,1,[],0.5,False,False,A_STABLE_CORRECT
8A_PHY_UNI_0011,Physics,UNIT_SCALE,medium,The mass of the electron is approximately 9.11×10⁻³¹ grams.,1,hallucinated,https://physics.nist.gov/cgi-bin/cuu/Value?me,"Correct unit is kilograms, not grams. 9.11×10⁻³¹ grams = 9.11×10⁻³⁴ kg — wrong by 10³.",0.5,1,True,1748.59,1.0,1,True,1521.9,1,[],0.5,False,False,A_STABLE_CORRECT
8A_PHY_UNI_0012,Physics,UNIT_SCALE,hard,Planck's constant is approximately 6.626×10⁻³⁴ electron-volts per second.,1,hallucinated,https://physics.nist.gov/cgi-bin/cuu/Value?h,Planck's constant is in J·s. In eV·s it is ~4.136×10⁻¹⁵ eV·s. Claim is dimensionally wrong.,0.5,1,True,2007.19,1.0,1,True,2064.32,1,[],0.5,False,False,A_STABLE_CORRECT
8A_PHY_UNI_0013,Physics,UNIT_SCALE,medium,The speed of light is approximately 3×10⁸ kilometres per second.,1,hallucinated,https://en.wikipedia.org/wiki/Speed_of_light,"Correct unit is metres per second, not kilometres per second.",0.5,1,True,1701.38,0.15,0,False,1642.6,1,[],-0.35,True,True,B_REGRESSION
8A_PHY_UNI_0014,Physics,UNIT_SCALE,easy,Standard gravitational acceleration is approximately 9.8 cm/s².,1,hallucinated,https://en.wikipedia.org/wiki/Gravitational_acceleration,"g≈9.8 m/s², not cm/s². Claim is off by a factor of 100.",0.5,1,True,1800.01,0.8857,1,True,1679.79,1,[],0.3857,False,False,A_STABLE_CORRECT
8A_PHY_UNI_0015,Physics,UNIT_SCALE,medium,Visible light wavelengths range from 380 to 740 micrometres.,1,hallucinated,https://en.wikipedia.org/wiki/Visible_spectrum,Correct unit is nanometres (nm). Micrometres (μm) would be infrared range.,0.5,1,True,2253.47,1.0,1,True,2168.15,1,[],0.5,False,False,A_STABLE_CORRECT
