id,domain,category,claim,ground_truth,h_score,predicted_label,error_type,primary_failure_cause,secondary_failure_cause,nli_score,nli_label,latency_ms
8A_PHY_TRU_0001,Physics,TRUE_CONTROL,The speed of light in a vacuum is approximately 3×10⁸ metres per second.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,5000.96
8A_PHY_TRU_0002,Physics,TRUE_CONTROL,An electron has a rest mass of approximately 9.11×10⁻³¹ kilograms.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,5661.06
8A_PHY_TRU_0003,Physics,TRUE_CONTROL,The gravitational acceleration at Earth's surface is approximately 9.8 m/s².,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,5630.89
8A_PHY_TRU_0004,Physics,TRUE_CONTROL,Planck's constant has a value of approximately 6.626×10⁻³⁴ joule-seconds.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4806.68
8A_PHY_TRU_0005,Physics,TRUE_CONTROL,The wavelength of visible light ranges from approximately 380 nm to 740 nm.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4800.5
8A_CHE_TRU_0036,Chemistry,TRUE_CONTROL,Water has a molecular formula of H₂O and a molar mass of approximately 18 g/mol.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4906.69
8A_CHE_TRU_0037,Chemistry,TRUE_CONTROL,The pH of a neutral aqueous solution at 25°C is 7.0.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,9465.97
8A_CHE_TRU_0038,Chemistry,TRUE_CONTROL,Carbon-12 is the most abundant stable isotope of carbon.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4995.73
8A_CHE_TRU_0039,Chemistry,TRUE_CONTROL,The Avogadro constant is approximately 6.022×10²³ per mole.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4975.81
8A_CHE_TRU_0040,Chemistry,TRUE_CONTROL,Sodium chloride (NaCl) dissociates completely into Na⁺ and Cl⁻ ions when dissolved in water.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4634.53
8A_BIO_TRU_0071,Biology,TRUE_CONTROL,Human DNA contains approximately 3 billion base pairs.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,4905.99
8A_BIO_TRU_0072,Biology,TRUE_CONTROL,The mitochondrion is the primary site of ATP synthesis via oxidative phosphorylation in eukaryotic cells.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,5466.19
8A_BIO_TRU_0073,Biology,TRUE_CONTROL,DNA replication is semi-conservative: each daughter strand retains one original parental strand.,0,0.5,1,FP,RETRIEVAL_FAILURE,NLI_FAILURE,,,5649.01
