sample_id,domain,category,claim,ground_truth,baseline_score,enhanced_score,baseline_pred,enhanced_pred,transition_type,triggering_mechanism,enhancements_detected,failure_classification,scientific_interpretation
8A_PHY_TRU_0001,Physics,TRUE_CONTROL,The speed of light in a vacuum is approximately 3×10⁸ metres per second.,0,0.5,0.1333,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.13. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_TRU_0002,Physics,TRUE_CONTROL,An electron has a rest mass of approximately 9.11×10⁻³¹ kilograms.,0,0.5,0.0126,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.01. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_TRU_0003,Physics,TRUE_CONTROL,The gravitational acceleration at Earth's surface is approximately 9.8 m/s².,0,0.5,0.0123,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.01. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_NUM_0006,Physics,NUMERICAL_PRECISION,The speed of light in a vacuum is approximately 3×10⁶ metres per second.,1,0.5,0.1333,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.13. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_NUM_0007,Physics,NUMERICAL_PRECISION,An electron has a rest mass of approximately 9.11×10⁻²⁷ kilograms.,1,0.5,0.0111,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.01. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_UNI_0013,Physics,UNIT_SCALE,The speed of light is approximately 3×10⁸ kilometres per second.,1,0.5,0.15,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in UNIT_SCALE had Baseline score=0.50 and Enhanced score=0.15. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_CAU_0022,Physics,CAUSAL_INVERSION,Higher frequency electromagnetic radiation results in lower photon energy.,1,0.5,0.1125,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.11. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_OUT_0026,Physics,OUTDATED_SCIENTIFIC_CLAIM,The atom is the smallest indivisible unit of matter.,1,0.5,0.2339,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.23. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_OUT_0027,Physics,OUTDATED_SCIENTIFIC_CLAIM,The luminiferous ether is the medium through which light propagates.,1,0.5,0.1214,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.12. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_OUT_0030,Physics,OUTDATED_SCIENTIFIC_CLAIM,Heat is a fluid substance called caloric that flows from hot to cold objects.,1,0.5,0.0082,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.01. Mechanism: NLI_SCORE_DIFFERENCE.
8A_PHY_TRU_0032,Physics,TRUE_CORE_FALSE_ELABORATION,"Special relativity, formulated by Einstein in 1905, predicts that mass increases with velocity and that objects can exceed the speed of light with sufficient energy.",1,0.5,0.4995,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.50. Mechanism: NLI_SCORE_DIFFERENCE.
