sample_id,domain,ground_truth,phase6_char_count,phase7_char_count,phase6_token_count,phase7_token_count,phase6_sentence_count,phase7_sentence_count,phase6_claim_count,phase7_claim_count,phase6_lexical_diversity,phase7_lexical_diversity,phase7_model,phase7_temperature,phase7_generation_count
gen_0001,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0002,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0003,General Knowledge,0,54,96,9,16,2,2,1,2,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0004,General Knowledge,1,49,92,9,16,2,2,1,2,0.7778,0.875,qwen2.5-coder:1.5b,0.7,3
gen_0005,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0006,General Knowledge,1,50,310,9,58,2,4,1,2,1.0,0.7586,qwen2.5-coder:1.5b,0.7,3
gen_0007,General Knowledge,0,54,73,9,12,2,2,1,2,1.0,0.9167,qwen2.5-coder:1.5b,0.7,3
gen_0008,General Knowledge,1,49,290,9,51,2,5,1,2,0.7778,0.6667,qwen2.5-coder:1.5b,0.7,3
gen_0009,General Knowledge,0,31,36,6,7,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0010,General Knowledge,1,50,137,9,24,2,3,1,2,1.0,0.9583,qwen2.5-coder:1.5b,0.7,3
gen_0011,General Knowledge,0,54,140,9,23,2,3,1,2,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0012,General Knowledge,1,49,121,9,21,2,2,1,2,0.7778,0.9048,qwen2.5-coder:1.5b,0.7,3
gen_0013,General Knowledge,0,31,36,6,7,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0014,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0015,General Knowledge,0,54,109,9,19,2,2,1,2,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0016,General Knowledge,1,49,243,9,40,2,3,1,2,0.7778,0.875,qwen2.5-coder:1.5b,0.7,3
gen_0017,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0018,General Knowledge,1,50,228,9,39,2,4,1,3,1.0,0.8205,qwen2.5-coder:1.5b,0.7,3
gen_0019,General Knowledge,0,54,147,9,26,2,2,1,2,1.0,0.9615,qwen2.5-coder:1.5b,0.7,3
gen_0020,General Knowledge,1,49,82,9,14,2,2,1,2,0.7778,0.9286,qwen2.5-coder:1.5b,0.7,3
gen_0021,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0022,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0023,General Knowledge,0,54,47,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0024,General Knowledge,1,49,39,9,7,2,2,1,1,0.7778,0.8571,qwen2.5-coder:1.5b,0.7,3
gen_0025,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0026,General Knowledge,1,50,261,9,46,2,4,1,2,1.0,0.8261,qwen2.5-coder:1.5b,0.7,3
gen_0027,General Knowledge,0,54,65,9,11,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0028,General Knowledge,1,49,141,9,23,2,2,1,2,0.7778,0.8261,qwen2.5-coder:1.5b,0.7,3
gen_0029,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0030,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0031,General Knowledge,0,54,132,9,23,2,3,1,2,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0032,General Knowledge,1,49,129,9,23,2,2,1,2,0.7778,0.8261,qwen2.5-coder:1.5b,0.7,3
gen_0033,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0034,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0035,General Knowledge,0,54,155,9,27,2,3,1,2,1.0,0.9259,qwen2.5-coder:1.5b,0.7,3
gen_0036,General Knowledge,1,49,229,9,40,2,3,1,3,0.7778,0.825,qwen2.5-coder:1.5b,0.7,3
gen_0037,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0038,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0039,General Knowledge,0,54,167,9,30,2,3,1,2,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
gen_0040,General Knowledge,1,49,117,9,22,2,3,1,1,0.7778,0.8182,qwen2.5-coder:1.5b,0.7,3
gen_0041,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0042,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0043,General Knowledge,0,54,107,9,18,2,2,1,2,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0044,General Knowledge,1,49,313,9,53,2,4,1,3,0.7778,0.7925,qwen2.5-coder:1.5b,0.7,3
gen_0045,General Knowledge,0,31,36,6,7,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0046,General Knowledge,1,50,106,9,20,2,3,1,2,1.0,0.95,qwen2.5-coder:1.5b,0.7,3
gen_0047,General Knowledge,0,54,95,9,17,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0048,General Knowledge,1,49,159,9,26,2,3,1,2,0.7778,0.8077,qwen2.5-coder:1.5b,0.7,3
gen_0049,General Knowledge,0,31,31,6,6,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
gen_0050,General Knowledge,1,50,45,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
med_0051,Medicine,0,59,362,8,55,2,5,1,2,1.0,0.8545,qwen2.5-coder:1.5b,0.7,3
med_0052,Medicine,1,56,1427,9,215,2,17,1,6,1.0,0.6372,qwen2.5-coder:1.5b,0.7,3
med_0053,Medicine,0,58,1344,8,199,2,17,1,7,1.0,0.6482,qwen2.5-coder:1.5b,0.7,3
med_0054,Medicine,1,53,779,7,106,2,8,1,7,1.0,0.8019,qwen2.5-coder:1.5b,0.7,3
med_0055,Medicine,0,59,466,8,71,2,5,1,3,1.0,0.8028,qwen2.5-coder:1.5b,0.7,3
med_0056,Medicine,1,56,343,9,52,2,4,1,3,1.0,0.9423,qwen2.5-coder:1.5b,0.7,3
med_0057,Medicine,0,58,1212,8,192,2,15,1,7,1.0,0.5156,qwen2.5-coder:1.5b,0.7,3
med_0058,Medicine,1,53,868,7,121,2,7,1,10,1.0,0.6694,qwen2.5-coder:1.5b,0.7,3
med_0059,Medicine,0,59,567,8,81,2,4,1,4,1.0,0.7901,qwen2.5-coder:1.5b,0.7,3
med_0060,Medicine,1,56,1716,9,267,2,21,1,9,1.0,0.6667,qwen2.5-coder:1.5b,0.7,3
med_0061,Medicine,0,58,379,8,59,2,5,1,4,1.0,0.7797,qwen2.5-coder:1.5b,0.7,3
med_0062,Medicine,1,53,1222,7,177,2,14,1,8,1.0,0.7458,qwen2.5-coder:1.5b,0.7,3
med_0063,Medicine,0,59,336,8,54,2,5,1,4,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
med_0064,Medicine,1,56,1546,9,235,2,20,1,10,1.0,0.6894,qwen2.5-coder:1.5b,0.7,3
med_0065,Medicine,0,58,208,8,34,2,2,1,3,1.0,0.7647,qwen2.5-coder:1.5b,0.7,3
med_0066,Medicine,1,53,412,7,58,2,4,1,2,1.0,0.8793,qwen2.5-coder:1.5b,0.7,3
med_0067,Medicine,0,59,608,8,95,2,5,1,3,1.0,0.7895,qwen2.5-coder:1.5b,0.7,3
med_0068,Medicine,1,56,1222,9,179,2,14,1,7,1.0,0.6816,qwen2.5-coder:1.5b,0.7,3
med_0069,Medicine,0,58,128,8,21,2,2,1,2,1.0,0.8571,qwen2.5-coder:1.5b,0.7,3
med_0070,Medicine,1,53,743,7,107,2,7,1,5,1.0,0.7196,qwen2.5-coder:1.5b,0.7,3
med_0071,Medicine,0,59,759,8,123,2,8,1,6,1.0,0.6829,qwen2.5-coder:1.5b,0.7,3
med_0072,Medicine,1,56,391,9,58,2,5,1,3,1.0,0.8103,qwen2.5-coder:1.5b,0.7,3
med_0073,Medicine,0,58,719,8,117,2,7,1,3,1.0,0.6068,qwen2.5-coder:1.5b,0.7,3
med_0074,Medicine,1,53,417,7,61,2,5,1,1,1.0,0.7213,qwen2.5-coder:1.5b,0.7,3
med_0075,Medicine,0,59,910,8,139,2,7,1,7,1.0,0.6763,qwen2.5-coder:1.5b,0.7,3
med_0076,Medicine,1,56,1767,9,266,2,20,1,11,1.0,0.6165,qwen2.5-coder:1.5b,0.7,3
