id,category,query,ground_truth,initial_verdict,initial_h_score,correction_performed,original_draft,final_response,final_h_score,reverification_status,correction_success,latency_ms
case_01,TRUE_SCIENTIFIC_CLAIM,What is the speed of light in vacuum?,0,VERIFIED,0.1206,False,The speed of light in vacuum is defined as exactly 299792458 meters per second.,The speed of light in vacuum is defined as exactly 299792458 meters per second.,0.1206,NOT_REQUIRED,True,114.76
case_02,TRUE_SCIENTIFIC_CLAIM,What is standard atmospheric pressure at sea level?,0,VERIFIED,0.1316,False,The standard atmospheric pressure at sea level is approximately 101.325 kPa.,The standard atmospheric pressure at sea level is approximately 101.325 kPa.,0.1316,NOT_REQUIRED,True,126.38
case_03,TRUE_SCIENTIFIC_CLAIM,What is the molar mass of water?,0,VERIFIED,0.0322,False,Water has a molar mass of approximately 18.015 g/mol.,Water has a molar mass of approximately 18.015 g/mol.,0.0322,NOT_REQUIRED,True,138.9
case_04,TRUE_SCIENTIFIC_CLAIM,In which direction does DNA replication proceed?,0,VERIFIED,0.1189,False,DNA replication in eukaryotic cells proceeds in the 5-prime to 3-prime direction.,DNA replication in eukaryotic cells proceeds in the 5-prime to 3-prime direction.,0.1189,NOT_REQUIRED,True,130.37
case_05,TRUE_SCIENTIFIC_CLAIM,What characterizes Type 1 diabetes mellitus?,0,VERIFIED,0.0367,False,Type 1 diabetes mellitus is characterized by autoimmune destruction of pancreatic beta cells.,Type 1 diabetes mellitus is characterized by autoimmune destruction of pancreatic beta cells.,0.0367,NOT_REQUIRED,True,115.27
case_06,NUMERICAL_HALLUCINATION,What is Planck's constant?,1,HALLUCINATED,0.8242,True,Planck's constant h is approximately 7.62607015e-34 J*s.,Planck's constant h is approximately 6.62607015e-34 J*s.,0.1134,PASSED,True,123.98
case_07,NUMERICAL_HALLUCINATION,What is Avogadro's constant?,1,HALLUCINATED,0.9146,True,Avogadro's constant is defined as exactly 8.02214076e23 mol^-1.,Avogadro's constant is defined as exactly 6.02214076e23 mol^-1.,0.0699,PASSED,True,105.23
case_08,NUMERICAL_HALLUCINATION,How many chromosomes are in human somatic cells?,1,HALLUCINATED,0.8609,True,Human diploid somatic cells normally contain 92 chromosomes organized into 46 pairs.,Human diploid somatic cells normally contain 46 chromosomes organized into 23 pairs.,0.0357,PASSED,True,132.25
case_09,NUMERICAL_HALLUCINATION,What is normal resting blood pressure?,1,HALLUCINATED,0.8763,True,Normal resting adult human blood pressure is typically defined as 240/160 mmHg.,Normal resting adult human blood pressure is typically defined as less than 120/80 mmHg.,0.0982,PASSED,True,110.96
case_10,NUMERICAL_HALLUCINATION,What is the mathematical constant e?,1,HALLUCINATED,0.9441,True,The mathematical constant e is approximately 3.718281828459.,The mathematical constant e is approximately 2.718281828459.,0.1104,PASSED,True,130.03
case_11,UNIT_SCALE_ERROR,What is the speed of light in vacuum?,1,HALLUCINATED,0.7889,True,"The speed of light in vacuum is approximately 299,792,458 km/s.","The speed of light in vacuum is defined as exactly 299,792,458 meters per second.",0.072,PASSED,True,96.97
case_12,UNIT_SCALE_ERROR,What is atmospheric pressure at sea level?,1,HALLUCINATED,0.7809,True,The standard atmospheric pressure at sea level is approximately 101.325 MPa.,The standard atmospheric pressure at sea level is approximately 101.325 kPa.,0.0915,PASSED,True,128.52
case_13,UNIT_SCALE_ERROR,What is the carbon-carbon bond length in ethane?,1,HALLUCINATED,0.9435,True,The carbon-carbon single bond length in ethane is approximately 154 nm.,The carbon-carbon single bond length in ethane is approximately 154 pm.,0.0593,PASSED,True,111.67
case_14,UNIT_SCALE_ERROR,What is the diameter of a red blood cell?,1,HALLUCINATED,0.8439,True,A typical mammalian erythrocyte has a diameter of approximately 7.5 millimeters.,A typical mammalian erythrocyte has a diameter of approximately 7.5 micrometers.,0.0471,PASSED,True,100.85
case_15,UNIT_SCALE_ERROR,What is normal fasting blood glucose?,1,HALLUCINATED,0.8451,True,Normal fasting serum glucose in non-diabetic adults is approximately 70 to 99 g/dL.,Normal fasting serum glucose in non-diabetic adults is approximately 70 to 99 mg/dL.,0.0504,PASSED,True,125.14
case_16,NEGATION_ERROR,Do photons possess momentum?,1,HALLUCINATED,0.8374,True,Photons do not possess momentum when traveling through free space.,Photons carry momentum when traveling through free space according to p = h/lambda.,0.1049,PASSED,True,126.51
case_17,NEGATION_ERROR,Do noble gases easily react?,0,VERIFIED,0.0606,False,Noble gases under standard conditions do not readily form covalent bonds.,Noble gases under standard conditions do not readily form covalent bonds.,0.0606,NOT_REQUIRED,True,132.45
case_18,NEGATION_ERROR,Do red blood cells have nuclei?,1,HALLUCINATED,0.911,True,Mature mammalian red blood cells contain multiple active cell nuclei and mitochondria.,A typical mammalian erythrocyte has a diameter of approximately 7.5 micrometers.,0.0649,PASSED,True,107.98
