threshold,n,confusion_matrix,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,auprc,brier_score,ece,fpr,fnr,corruption_type,severity,mean_h_score,median_h_score
0.5,30,"{'TP': 8, 'TN': 0, 'FP': 0, 'FN': 22}",0.2667,1.0,0.2667,0.0,0.4211,0.2667,0.0,,1.0,0.3948,0.6012,0.0,0.7333,ENTITY_SUBSTITUTION,2,0.3988,0.3234
0.5,30,"{'TP': 10, 'TN': 0, 'FP': 0, 'FN': 20}",0.3333,1.0,0.3333,0.0,0.5,0.3333,0.0,,1.0,0.3705,0.5824,0.0,0.6667,NUMERIC_SUBSTITUTION,2,0.4176,0.3644
0.5,30,"{'TP': 11, 'TN': 0, 'FP': 0, 'FN': 19}",0.3667,1.0,0.3667,0.0,0.5366,0.3667,0.0,,1.0,0.3707,0.5847,0.0,0.6333,DATE_SUBSTITUTION,2,0.4153,0.3977
0.5,30,"{'TP': 9, 'TN': 0, 'FP': 0, 'FN': 21}",0.3,1.0,0.3,0.0,0.4615,0.3,0.0,,1.0,0.4322,0.6368,0.0,0.7,TEMPORAL_ERROR,2,0.3632,0.2751
0.5,30,"{'TP': 7, 'TN': 0, 'FP': 0, 'FN': 23}",0.2333,1.0,0.2333,0.0,0.3784,0.2333,0.0,,1.0,0.4058,0.6174,0.0,0.7667,LOCATION_SUBSTITUTION,2,0.3826,0.337
0.5,30,"{'TP': 16, 'TN': 0, 'FP': 0, 'FN': 14}",0.5333,1.0,0.5333,0.0,0.6957,0.5333,0.0,,1.0,0.313,0.5218,0.0,0.4667,PERSON_SUBSTITUTION,2,0.4782,0.5213
0.5,30,"{'TP': 11, 'TN': 0, 'FP': 0, 'FN': 19}",0.3667,1.0,0.3667,0.0,0.5366,0.3667,0.0,,1.0,0.3157,0.5489,0.0,0.6333,CAUSAL_REVERSAL,3,0.4511,0.4351
0.5,30,"{'TP': 14, 'TN': 0, 'FP': 0, 'FN': 16}",0.4667,1.0,0.4667,0.0,0.6364,0.4667,0.0,,1.0,0.2429,0.4676,0.0,0.5333,CONTRADICTION,4,0.5324,0.4475
0.5,30,"{'TP': 3, 'TN': 0, 'FP': 0, 'FN': 27}",0.1,1.0,0.1,0.0,0.1818,0.1,0.0,,1.0,0.46,0.6552,0.0,0.9,PARTIAL_CLAIM_CORRUPTION,1,0.3448,0.3449
0.5,30,"{'TP': 13, 'TN': 0, 'FP': 0, 'FN': 17}",0.4333,1.0,0.4333,0.0,0.6047,0.4333,0.0,,1.0,0.3132,0.5392,0.0,0.5667,MULTI_CLAIM_CORRUPTION,3,0.4608,0.4578
