sample_id,split,domain,category,claim,ground_truth,baseline_score,enhanced_score,hybrid_score,baseline_pred,enhanced_pred,hybrid_pred,baseline_correct,enhanced_correct,hybrid_correct,nli_component,numeric_component,negation_component,causal_component,decomposition_component,evidence_component,baseline_latency_ms,enhanced_latency_ms,hybrid_latency_ms
8A_CHE_NUM_0045,DEV,Chemistry,NUMERICAL_PRECISION,Carbon dioxide has a molar mass of approximately 44 kg/mol.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1465.74,1323.1,1324.3
8A_PHY_NUM_0009,DEV,Physics,NUMERICAL_PRECISION,The gravitational acceleration at Earth's surface is approximately 19.6 m/s².,1,0.5,0.9646,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1625.0,1673.12,1674.32
8A_BIO_TRU_0104,DEV,Biology,TRUE_CORE_FALSE_ELABORATION,Antibiotics kill bacteria by disrupting cell wall synthesis; they are equally effective against viral infections.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2241.29,3826.53,3827.73
8A_CHE_UNI_0049,DEV,Chemistry,UNIT_SCALE,The density of water is approximately 1 kg/cm³.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1679.89,1623.79,1624.99
8A_PHY_CAU_0022,DEV,Physics,CAUSAL_INVERSION,Higher frequency electromagnetic radiation results in lower photon energy.,1,0.5,0.1125,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1919.15,1558.7,1559.9
8A_BIO_NUM_0078,DEV,Biology,NUMERICAL_PRECISION,A typical human cell contains approximately 20 to 25 total genes.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1541.23,1504.31,1505.51
8A_BIO_TRU_0074,DEV,Biology,TRUE_CONTROL,"The human body has 23 pairs of chromosomes, totalling 46.",0,0.5,0.1125,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,1824.44,1754.12,1755.32
8A_BIO_TRU_0073,DEV,Biology,TRUE_CONTROL,DNA replication is semi-conservative: each daughter strand retains one original parental strand.,0,0.5,0.125,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,2231.53,1897.55,1898.75
8A_CHE_TRU_0070,DEV,Chemistry,TRUE_CORE_FALSE_ELABORATION,Aspirin is an analgesic that works by inhibiting cyclooxygenase enzymes; it was first synthesised by Louis Pasteur in 1897.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2399.33,5160.5,5161.7
8A_CHE_NUM_0044,DEV,Chemistry,NUMERICAL_PRECISION,The atomic number of gold is 97.,1,0.5,0.9951,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1398.44,1562.39,1563.59
