sample_id,domain,ground_truth,phase7_response,p1_score,retrieval_status,retrieval_failure_type,nli_status,nli_failure_type,evidence_quality,diagnosis
gen_0001,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0002,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0003,General Knowledge,0,"The highest mountain on Earth is Mount Everest, which stands at 8,848 meters (29,035 feet) tall.",0.4915,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0004,General Knowledge,1,"The smallest ocean is the Pacific Ocean, which covers about 20% of the Earth's surface area.",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0005,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0006,General Knowledge,1,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1893 as the tallest structure of its time an",0.5236,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0007,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in the Himalayas.",0.1125,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0008,General Knowledge,1,The smallest ocean is the Arctic Ocean. It covers about 14 million square kilometers (5.4 million square miles) and has ,0.5008,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0009,General Knowledge,0,The capital city of France is Paris.,0.0027,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0010,General Knowledge,1,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1903 as a symbol of French technological pro",0.3357,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0011,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in Nepal and Tibet. It has an elevation of approximately 8,848 m",0.0746,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0012,General Knowledge,1,"The smallest ocean in terms of surface area is the Dead Sea, which covers about 350 square kilometers (145 square miles)",0.7434,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0013,General Knowledge,0,The capital city of France is Paris.,0.0027,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
