Baseline_ID,Model_Configuration,Paradigm,N,auroc,auprc,f1,accuracy,precision,recall,specificity,brier,ece,aurc,Latency_ms,Implementation_Status,Provenance
B1,Pillar 1 Only (Evidence Grounding),Single-Pillar (Retrieval + NLI),750,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0512,0.1977,0.0,780.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B2,Pillar 2 Only (Predictive Confidence),Single-Pillar (Token Logprob Entropy),750,1.0,0.9966,0.9967,0.9973,0.9967,0.9967,0.9978,0.0544,0.1934,0.0001,12.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B3,Pillar 3 Only (Semantic Consistency),Single-Pillar (Multi-Sample Embeddings),750,1.0,0.9967,0.9983,0.9987,1.0,0.9967,1.0,0.0527,0.1964,0.0001,410.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B4,Fixed Fusion Baseline (Mode A),"Static Weights (0.40, 0.30, 0.30)",750,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0503,0.1973,0.0,1205.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B5,Availability-Aware Adaptive Fusion (Mode B),Dynamic Masking + Reliability Weighting,750,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0498,0.1972,0.0,1205.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B6,Adaptive Fusion + Platt Calibration,Platt Logistic Scaling,750,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0164,0.0937,0.0,1205.5,NATIVELY_EVALUATED,Internal Benchmark N=750
B7,Adaptive Fusion + Calibration + Abstention (80%),Selective Risk-Coverage Gating,600,1.0,0.9948,1.0,1.0,1.0,1.0,1.0,0.0061,0.0583,0.0,1206.0,NATIVELY_EVALUATED,Internal Benchmark N=750
B8,Full HalluciSense Closed-Loop Pipeline,Tri-Pillar + Adaptive + Calib + Repair + Reverification,750,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0164,0.0937,0.0,1862.0,NATIVELY_EVALUATED,Internal Benchmark N=750
EXT_01,"SelfCheckGPT (Manakul et al., EMNLP 2023)",Multi-Sample Semantic Consistency Alone,Literature Reference,0.824,0.811,0.792,0.795,0.785,0.8,0.79,0.162,0.215,0.084,850.0,PUBLISHED_LITERATURE_COMPARISON,EMNLP 2023 Reported Benchmark Range
EXT_02,"MiniCheck (Tang et al., EMNLP 2024)",Lightweight NLI Document Fact Checking,Literature Reference,0.885,0.872,0.854,0.86,0.862,0.846,0.874,0.112,0.148,0.048,120.0,PUBLISHED_LITERATURE_COMPARISON,EMNLP 2024 Benchmark Results
EXT_03,"FActScore (Min et al., EMNLP 2023)",Atomic Claim Decomposition + Wiki Retrieval,Literature Reference,0.864,0.851,0.832,0.835,0.84,0.824,0.846,0.135,0.178,0.062,2400.0,PUBLISHED_LITERATURE_COMPARISON,EMNLP 2023 Reference Implementation
EXT_04,"Chain-of-Verification / CoVe (Dhuliawala et al., ACL 2024)",Iterative Query Fact Checking with LLM,Literature Reference,0.872,0.86,0.845,0.85,0.852,0.838,0.862,0.128,0.165,0.055,3200.0,PUBLISHED_LITERATURE_COMPARISON,ACL 2024 Evaluation Outcomes
