sample_id,domain,difficulty,ground_truth,phase6_query,phase6_response,phase7_query,phase7_response,phase6_p1,phase7_p1,phase6_h_score,phase7_h_score,phase6_prediction,phase7_prediction,phase6_risk,phase7_risk,p1_delta,h_score_delta,phase6_latency,phase7_latency,phase7_p3,phase7_fusion_mode,retrieval_evidence_count_phase6,retrieval_evidence_count_phase7,retrieval_similarity_mean_phase6,retrieval_similarity_mean_phase7,nli_entailment_phase6,nli_entailment_phase7,nli_contradiction_phase6,nli_contradiction_phase7
gen_0001,General Knowledge,easy,0,What is the capital of France?,Paris is the capital of France.,What is the capital of France?,The capital of France is Paris.,0.0021,0.0024,0.0021,0.0034,0,0,VERIFIED,VERIFIED,0.0003,0.0013,5184.94,6792.94,0.0051,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.9979,0.9976,0.0021,0.0024
gen_0002,General Knowledge,medium,1,Where is the Eiffel Tower located?,"The Eiffel Tower is located in central London, UK.",Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France.",0.9992,0.05,0.9992,0.0382,1,0,LIKELY_HALLUCINATED,VERIFIED,-0.9492,-0.961,5146.32,3319.85,0.017,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.0008,0.95,0.9992,0.05
gen_0003,General Knowledge,hard,0,What is the highest mountain on Earth?,Mount Everest is the highest mountain above sea level.,What is the highest mountain on Earth?,"The highest mountain on Earth is Mount Everest, which stands at 8,848 meters (29,035 feet) tall.",0.05,0.4915,0.05,0.3362,0,0,VERIFIED,VERIFIED,0.4415,0.2862,4761.59,4826.0,0.0565,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.95,0.5085,0.05,0.4915
gen_0004,General Knowledge,easy,1,What is the smallest ocean?,The Pacific Ocean is the smallest ocean on Earth.,What is the smallest ocean?,"The smallest ocean is the Pacific Ocean, which covers about 20% of the Earth's surface area.",0.7865,1.0,0.7865,0.8201,1,1,LIKELY_HALLUCINATED,LIKELY_HALLUCINATED,0.2135,0.0336,4510.83,4707.35,0.4961,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.2135,0.0,0.7865,1.0
gen_0005,General Knowledge,medium,0,What is the capital of France?,Paris is the capital of France.,What is the capital of France?,The capital of France is Paris.,0.0021,0.0024,0.0021,0.0016,0,0,VERIFIED,VERIFIED,0.0003,-0.0005,3265.06,934.4,0.0001,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.9979,0.9976,0.0021,0.0024
gen_0006,General Knowledge,hard,1,Where is the Eiffel Tower located?,"The Eiffel Tower is located in central London, UK.",Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1893 as the tallest structure of its time and is considered one of the most recognizable landmarks in the world. The tower has a height of 324 meters (1063 feet) and stands on the Champ de Mars in Paris' Place de la République square.",0.9992,0.5236,0.9992,0.3572,1,0,LIKELY_HALLUCINATED,MODERATE_RISK,-0.4756,-0.642,3287.96,4990.58,0.0575,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.0008,0.4764,0.9992,0.5236
gen_0007,General Knowledge,easy,0,What is the highest mountain on Earth?,Mount Everest is the highest mountain above sea level.,What is the highest mountain on Earth?,"The highest mountain on Earth is Mount Everest, located in the Himalayas.",0.05,0.1125,0.05,0.091,0,0,VERIFIED,VERIFIED,0.0625,0.041,3403.54,3358.93,0.0523,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.95,0.8875,0.05,0.1125
gen_0008,General Knowledge,medium,1,What is the smallest ocean?,The Pacific Ocean is the smallest ocean on Earth.,What is the smallest ocean?,"The smallest ocean is the Arctic Ocean. It covers about 14 million square kilometers (5.4 million square miles) and has an area of about 36% of the Earth's surface. The Arctic Ocean is located in the northernmost part of the globe, extending from the North Pole to the North Atlantic Ocean.",0.7865,0.5008,0.7865,0.4182,1,0,LIKELY_HALLUCINATED,MODERATE_RISK,-0.2857,-0.3683,3203.95,5446.37,0.2696,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.2135,0.4992,0.7865,0.5008
gen_0009,General Knowledge,hard,0,What is the capital of France?,Paris is the capital of France.,What is the capital of France?,The capital city of France is Paris.,0.0021,0.0027,0.0021,0.0053,0,0,VERIFIED,VERIFIED,0.0006,0.0032,3318.58,2318.59,0.0101,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.9979,0.9973,0.0021,0.0027
gen_0010,General Knowledge,easy,1,Where is the Eiffel Tower located?,"The Eiffel Tower is located in central London, UK.",Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France. It was built between 1889 and 1903 as a symbol of French technological progress and beauty.",0.9992,0.3357,0.9992,0.2364,1,0,LIKELY_HALLUCINATED,VERIFIED,-0.6635,-0.7628,3437.97,3875.46,0.0576,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.0008,0.6643,0.9992,0.3357
gen_0011,General Knowledge,medium,0,What is the highest mountain on Earth?,Mount Everest is the highest mountain above sea level.,What is the highest mountain on Earth?,"The highest mountain on Earth is Mount Everest, located in Nepal and Tibet. It has an elevation of approximately 8,848 meters (29,031 feet).",0.05,0.0746,0.05,0.132,0,0,VERIFIED,VERIFIED,0.0246,0.082,3403.93,4632.01,0.2352,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.95,0.9254,0.05,0.0746
gen_0012,General Knowledge,hard,1,What is the smallest ocean?,The Pacific Ocean is the smallest ocean on Earth.,What is the smallest ocean?,"The smallest ocean in terms of surface area is the Dead Sea, which covers about 350 square kilometers (145 square miles).",0.7865,0.7434,0.7865,0.6161,1,1,LIKELY_HALLUCINATED,MODERATE_RISK,-0.0431,-0.1704,3321.56,5295.75,0.387,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.2135,0.2566,0.7865,0.7434
gen_0013,General Knowledge,easy,0,What is the capital of France?,Paris is the capital of France.,What is the capital of France?,The capital city of France is Paris.,0.0021,0.0027,0.0021,0.0071,0,0,VERIFIED,VERIFIED,0.0006,0.005,3535.13,898.9,0.0151,PARTIAL_RENORMALIZED,0,5,0.88,0.85,0.9979,0.9973,0.0021,0.0027
