Claim,PT_Class,FP32_Class,INT8_Class,PT_H_Score,FP32_H_Score,INT8_H_Score,FP32_Delta,INT8_Delta
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
"Mount Everest is the highest mountain above sea le",2,2,2,0.0315,0.0315,0.1289,0.0,0.0973
"The Pacific Ocean is the smallest ocean on Earth.",2,2,2,0.0394,0.0394,0.011,0.0,0.0284
"Paris is the capital of France.",0,0,0,0.6262,0.6262,0.9295,0.0,0.3033
"The Eiffel Tower is located in central London  UK.",0,0,0,0.9368,0.9368,0.5121,0.0,0.4246
