id,domain,category,claim,ground_truth,prediction,final_score,retrieved_evidence,nli_score,symbolic_signals,failure_type,reviewer_reasoning,review_confidence,resolution
phase10_0004,Physics,DIRECT_FACTUAL,The speed of light in vacuum varies according to ambient gravitational wave amplitude.,1,0,0.4787,Authoritative scientific literature reference context.,0.6223,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0006,Physics,DIRECT_FACTUAL,The speed of light in vacuum varies according to ambient gravitational wave amplitude.,1,0,0.4833,Authoritative scientific literature reference context.,0.6153,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0010,Physics,DIRECT_FACTUAL,The speed of light in vacuum varies according to ambient gravitational wave amplitude.,1,0,0.4912,Authoritative scientific literature reference context.,0.7009,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0052,Physics,CAUSAL_DIRECTION,Electromagnetic radiation causes all static electric charges to accelerate spontaneously.,1,0,0.4871,Authoritative scientific literature reference context.,0.6368,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0054,Physics,CAUSAL_DIRECTION,Electromagnetic radiation causes all static electric charges to accelerate spontaneously.,1,0,0.4891,Authoritative scientific literature reference context.,0.6538,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0058,Physics,CAUSAL_DIRECTION,Electromagnetic radiation causes all static electric charges to accelerate spontaneously.,1,0,0.4968,Authoritative scientific literature reference context.,0.7308,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0070,Physics,CONDITIONAL_CONTEXT,Superconductivity occurs universally across all metals at room temperature and pressure.,1,0,0.4902,Authoritative scientific literature reference context.,0.6887,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0080,Physics,TEMPORAL_OUTDATED,Luminiferous ether remains the accepted mechanical medium for electromagnetic wave propagation.,1,0,0.4934,Authoritative scientific literature reference context.,0.7034,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0103,Physics,COMPOUND_CLAIM,Gravitational waves travel faster than light and instantaneously compress atomic nuclei.,1,0,0.491,Authoritative scientific literature reference context.,0.6194,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0105,Physics,COMPOUND_CLAIM,Gravitational waves travel faster than light and instantaneously compress atomic nuclei.,1,0,0.4933,Authoritative scientific literature reference context.,0.6538,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0108,Physics,TRUE_CORE_FALSE_ELABORATION,"Black holes possess an event horizon, inside which matter converts directly into tachyon particles.",1,0,0.4974,Authoritative scientific literature reference context.,0.6573,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0110,Physics,TRUE_CORE_FALSE_ELABORATION,"Black holes possess an event horizon, inside which matter converts directly into tachyon particles.",1,0,0.4883,Authoritative scientific literature reference context.,0.628,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0114,Physics,TRUE_CORE_FALSE_ELABORATION,"Black holes possess an event horizon, inside which matter converts directly into tachyon particles.",1,0,0.4904,Authoritative scientific literature reference context.,0.6203,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
